SNo,Provinces,Name,Municipal sub-type,Population -2011,Population -2006,Change (%),Land area (km²),Population density (per km2),,,
104, Ontario,East Garafraxa,Township,"2,595","2,389",8.6,166.04,15.6,,,
105, Ontario,East Gwillimbury,Town,"22,473","21,069",6.7,245.03,91.7,,,
106, Ontario,East Hawkesbury,Township,"3,335","3,368",?1.0,235.18,14.2,,,
107, Ontario,East Zorra-Tavistock,Township,"6,836","7,008",?2.5,242.3,28.2,,,
108, Ontario,Edwardsburgh/Cardinal,Township,"6,959","6,689",4,312.34,22.3,,,
109, Ontario,Elizabethtown-Kitley,Township,"9,724","10,201",?4.7,557.8,17.4,,,
110, Ontario,Elliot Lake,City,"11,348","11,549",?1.7,714.56,15.9,,,
111, Ontario,Emo,Township,"1,252","1,305",?4.1,203.54,6.2,,,
112, Ontario,Englehart,Town,"1,519","1,494",1.7,3.04,499.9,,,
113, Ontario,Enniskillen,Township,"2,930","3,122",?6.1,338.18,8.7,,,
114, Ontario,Erin,Town,"10,770","11,148",?3.4,297.75,36.2,,,
115, Ontario,Espanola,Town,"5,364","5,314",0.9,82.44,65.1,,,
116, Ontario,Essa,Township,"18,505","16,901",9.5,280.07,66.1,,,
117, Ontario,Essex,Town,"19,600","20,032",?2.2,277.92,70.5,,,
118, Ontario,Evanturel,Township,452,473,?4.4,88.99,5.1,,,
119, Ontario,Faraday,Township,"1,468","1,578",?7.0,217.97,6.7,,,
120, Ontario,Fauquier-Strickland,Township,530,568,?6.7,"1,013.90",0.5,,,
121, Ontario,Fort Erie,Town,"29,960","29,925",0.1,166.24,180.2,,,
122, Ontario,Fort Frances,Town,"7,952","8,103",?1.9,26.85,296.2,,,
123, Ontario,French River,Municipality,"2,442","2,659",?8.2,735.47,3.3,,,
124, Ontario,Front of Yonge,Township,"2,752","2,803",?4.4,128.47,20.9,,,
125, Ontario,Frontenac Islands,Township,"1,864","1,862",0.1,175.04,10.6,,,
126, Ontario,Gananoque,Town,"5,194","5,285",?1.7,7.01,740.8,,,
127, Ontario,Gauthier,Township,123,133,?7.5,88.59,1.4,,,
128, Ontario,Georgian Bay,Township,"2,482","2,340",6.1,546.97,4.5,,,
129, Ontario,Georgian Bluffs,Township,"10,404","10,506",?1.0,604.36,17.2,,,
130, Ontario,Georgina,Town,"43,517","42,346",2.8,287.72,151.2,,,
131, Ontario,Gillies,Township,473,544,?13.1,93.02,5.1,,,
132, Ontario,Goderich,Town,"7,521","7,563",?0.6,7.91,950.8,,,
133, Ontario,Gordon/Barrie Island,Municipality,526,459,14.6,268.14,2,,,
134, Ontario,Gore Bay,Town,850,924,?8.0,5.27,161.4,,,
135, Ontario,Grand Valley,Town,"2,726","2,844",?4.1,158.23,17.2,,,
136, Ontario,Gravenhurst,Town,"12,055","11,046",9.1,518.59,23.2,,,
137, Ontario,Greater Madawaska,Township,"2,485","2,751",?9.7,"1,034.33",2.4,,,
138, Ontario,Greater Napanee,Town,"15,511","15,400",0.7,461.31,33.6,,,
139, Ontario,Greater Sudbury,City,"1,60,274","1,57,857",1.5,"3,227.38",49.7,,,
140, Ontario,Greenstone,Municipality,"4,724","4,886",?3.3,"2,767.76",1.7,,,
141, Ontario,Grey Highlands,Municipality,"9,520","9,480",0.4,882.44,10.8,,,
142, Ontario,Grimsby,Town,"25,325","23,937",5.8,68.96,367.2,,,
143, Ontario,Guelph/Eramosa,Township,"12,380","12,066",2.6,291.71,42.4,,,
144, Ontario,Guelph,City,"1,21,688","1,14,943",5.9,87.2,"1,395.40",,,
145, Ontario,Haldimand,City,"44,876","45,212",?0.7,"1,251.57",35.9,,,
146, Ontario,Halton Hills,Town,"59,008","55,289",6.7,276.25,213.6,,,
147, Ontario,Hamilton,Township,"10,702","10,972",?2.5,256.12,41.8,,,
148, Ontario,Hamilton,City,"5,19,949","5,04,559",3.1,"1,117.23",465.4,,,
149, Ontario,Hanover,Town,"7,490","7,147",4.8,9.81,763.8,,,
150, Ontario,Harley,Township,539,551,?2.2,91.73,5.9,,,
151, Ontario,Harris,Township,523,512,2.1,50.17,10.4,,,
152, Ontario,Hastings Highlands,Municipality,"4,168","4,033",3.3,972.54,4.3,,,
153, Ontario,Havelock-Belmont-Methuen,Township,"4,523","4,637",?2.5,543.59,8.3,,,
154, Ontario,Hawkesbury,Town,"10,551","10,869",?2.9,9.46,"1,115.60",,,
155, Ontario,"Head, Clara and Maria",Township,235,228,3.1,728.15,0.3,,,
156, Ontario,Hearst,Town,"5,090","5,620",?9.4,98.73,51.6,,,
157, Ontario,Highlands East,Municipality,"3,249","3,089",5.2,705.42,4.6,,,
158, Ontario,Hilliard,Township,204,222,?8.1,91.18,2.2,,,
159, Ontario,Hilton Beach,Village,145,172,?15.7,2.46,59,,,
160, Ontario,Hilton,Township,261,243,7.4,115.78,2.3,,,
161, Ontario,Hornepayne,Township,"1,050","1,209",?13.2,204.52,5.1,,,
162, Ontario,Horton,Township,"2,719","2,803",?3.0,158.53,17.2,,,
163, Ontario,Howick,Township,"3,856","3,882",?0.7,287.18,13.4,,,
164, Ontario,Hudson,Township,476,455,4.6,90.64,5.3,,,
165, Ontario,Huntsville,Town,"19,056","18,280",4.2,710.64,26.8,,,
166, Ontario,Huron East,Municipality,"9,264","9,310",?0.5,669.26,13.8,,,
167, Ontario,Huron Shores,Municipality,"1,723","1,696",1.6,455.59,3.8,,,
168, Ontario,Huron-Kinloss,Township,"6,790","6,515",4.2,440.63,15.4,,,
169, Ontario,Ignace,Township,"1,202","1,431",?16.0,72.66,16.5,,,
170, Ontario,Ingersoll,Town,"12,146","11,760",3.3,12.9,941.8,,,
171, Ontario,Innisfil,Town,"32,727","31,175",5,284.21,115.2,,,
172, Ontario,Iroquois Falls,Town,"4,595","4,729",?2.8,599.92,7.7,,,
173, Ontario,James,Township,424,414,2.4,86.19,4.9,,,
174, Ontario,Jocelyn,Township,237,277,?14.4,131.37,1.8,,,
175, Ontario,Johnson,Township,750,701,7,120.38,6.2,,,
176, Ontario,Joly,Township,284,280,1.4,194.33,1.5,,,
177, Ontario,Kapuskasing,Town,"8,196","8,509",?3.7,84.13,97.4,,,
178, Ontario,Kawartha Lakes,City,"73,214","74,561",?1.8,"3,083.06",23.7,,,
179, Ontario,Kearney,Town,841,798,5.4,531.31,1.6,,,
180, Ontario,Kenora,City,"15,348","15,177",1.1,211.75,72.5,,,
181, Ontario,Kerns,Township,359,325,10.5,90.44,4,,,
182, Ontario,"Killaloe, Hagarty and Richards",Township,"2,402","2,550",?5.8,395.98,6.1,,,
183, Ontario,Killarney,Municipality,505,459,10,"1,654.58",0.3,,,
184, Ontario,Kincardine,Municipality,"11,174","11,173",0,538.02,20.8,,,
185, Ontario,King,Township,"19,899","19,487",2.1,333.3,59.7,,,
186, Ontario,Kingston,City,"1,23,363","1,17,207",5.3,451.17,273.4,,,
187, Ontario,Kingsville,Town,"21,362","20,908",2.2,246.84,86.5,,,
188, Ontario,Kirkland Lake,Town,"8,493","8,248",3,262.54,32.3,,,
189, Ontario,Kitchener,City,"2,19,153","2,04,668",7.1,136.79,"1,602.10",,,
190, Ontario,La Vallee,Township,988,"1,067",?7.4,237.5,4.2,,,
191, Ontario,Laird,Township,"1,057","1,078",?1.9,102.43,10.3,,,
192, Ontario,Lake of Bays,Township,"3,506","3,570",?1.8,677.58,5.2,,,
193, Ontario,Lake of the Woods,Township,296,323,?8.4,751.95,0.4,,,
194, Ontario,Lakeshore,Town,"34,546","33,245",3.9,530.32,65.1,,,
195, Ontario,Lambton Shores,Municipality,"10,656","11,150",?4.4,331.08,32.2,,,
196, Ontario,Lanark Highlands,Township,"5,128","5,180",?1.0,"1,048.19",4.9,,,
197, Ontario,Larder Lake,Township,684,735,?6.9,229.65,3,,,
198, Ontario,LaSalle,Town,"28,643","27,652",3.6,65.3,438.6,,,
199, Ontario,Latchford,Town,387,390,?0.8,153.35,2.5,,,
200, Ontario,Laurentian Hills,Town,"2,811","2,789",0.8,640.48,4.4,,,
201, Ontario,Laurentian Valley,Township,"9,657","9,265",4.2,552.44,17.5,,,
202, Ontario,Leamington,Municipality,"28,403","28,833",?1.5,261.92,108.4,,,
203, Ontario,Leeds and the Thousand Islands,Township,"9,277","9,435",?1.7,612.51,15.1,,,
204, Ontario,Limerick,Township,352,364,?3.3,205.68,1.7,,,
205, Ontario,Lincoln,Town,"22,487","21,722",3.5,162.86,138.1,,,
206, Ontario,London,City,"3,66,151","3,52,395",3.9,420.57,870.6,,,
207, Ontario,Loyalist,Township,"16,221","15,062",7.7,341.04,47.6,,,
208, Ontario,Lucan Biddulph,Township,"4,338","4,187",3.6,169.15,25.6,,,
209, Ontario,"Macdonald, Meredith and Aberdeen Additional",Township,"1,464","1,550",?5.5,163.52,9,,,
210, Ontario,Machar,Township,923,866,6.6,184.62,5,,,
211, Ontario,Machin,Township,935,978,?4.4,289.84,3.2,,,
212, Ontario,Madawaska Valley,Township,"4,282","4,381",?2.3,671.85,6.4,,,
213, Ontario,Madoc,Township,"2,197","2,069",6.2,277.97,7.9,,,
214, Ontario,Magnetawan,Municipality,"1,454","1,610",?9.7,531.83,2.7,,,
215, Ontario,Malahide,Township,"9,146","8,828",3.6,395.08,23.2,,,
216, Ontario,Manitouwadge,Township,"2,105","2,300",?8.5,352.06,6,,,
217, Ontario,Mapleton,Township,"9,989","9,851",1.4,534.81,18.7,,,
218, Ontario,Marathon,Town,"3,353","3,863",?13.2,170.48,19.7,,,
219, Ontario,Markham,City,"3,01,709","2,61,573",15.3,212.58,"1,419.30",,,
220, Ontario,Markstay-Warren,Municipality,"2,297","2,475",?7.2,513.1,4.5,,,
221, Ontario,Marmora and Lake,Municipality,"4,074","3,912",4.1,556.19,7.3,,,
222, Ontario,Matachewan,Township,409,375,9.1,543.63,0.8,,,
223, Ontario,Mattawa,Town,"2,023","2,003",1,3.66,553.5,,,
224, Ontario,Mattawan,Township,162,147,10.2,200.96,0.8,,,
225, Ontario,Mattice-Val Côté,Township,686,772,?11.1,414.64,1.7,,,
226, Ontario,McDougall,Township,"2,705","2,704",0,268.3,10.1,,,
227, Ontario,McGarry,Township,595,674,?11.7,86.72,6.9,,,
228, Ontario,McKellar,Township,"1,144","1,080",5.9,181.12,6.3,,,
229, Ontario,McMurrich/Monteith,Township,779,791,?1.5,278.13,2.8,,,
230, Ontario,McNab/Braeside,Township,"7,371","7,222",2.1,255.74,28.8,,,
231, Ontario,Meaford,Municipality,"11,100","10,948",1.4,588.61,18.9,,,
232, Ontario,Melancthon,Township,"2,839","2,895",?1.9,310.96,9.1,,,
233, Ontario,Merrickville-Wolford,Village,"2,850","2,867",?0.6,214.49,13.3,,,
234, Ontario,Middlesex Centre,Municipality,"16,487","15,589",5.8,588.15,28.0.,,,
235, Ontario,Midland,Town,"16,572","16,330",1.5,35.37,468.5,,,
236, Ontario,Milton,Town,"84,362","53,889",56.5,363.22,232.3,,,
237, Ontario,Minden Hills,Township,"5,655","5,556",1.8,878.17,6.4,,,
238, Ontario,Minto,Town,"8,334","8,504",?2.0,300.57,27.7,,,
239, Ontario,Mississauga,City,"7,13,443","6,68,599",6.7,292.4,"2,439.90",,,
240, Ontario,Mississippi Mills,Town,"12,385","11,734",5.5,519.53,23.8,,,
241, Ontario,Mono,Town,"7,546","7,071",6.7,277.78,27.2,,,
242, Ontario,Montague,Township,"3,483","3,209",8.5,279.74,12.5,,,
243, Ontario,Moonbeam,Township,"1,101","1,298",?15.2,235.65,4.7,,,
244, Ontario,Moosonee,Town,"1,725","2,006",?14.0,550.12,3.1,,,
245, Ontario,Morley,Township,474,492,?3.7,375.61,1.3,,,
246, Ontario,Morris-Turnberry,Municipality,"3,413","3,403",0.3,376.55,9.1,,,
247, Ontario,Mulmur,Township,"3,391","3,318",2.2,286.73,11.8,,,
248, Ontario,Muskoka Lakes,Township,"6,707","6,467",3.7,794.48,8.4,,,
249, Ontario,Nairn and Hyman,Township,477,493,?3.2,160.94,3,,,
250, Ontario,The Nation,Municipality,"11,668","10,662",9.4,658.03,17.7,,,
251, Ontario,Neebing,Municipality,"1,986","2,184",?9.1,877.6,2.3,,,
252, Ontario,New Tecumseth,Town,"30,234","27,701",9.1,274.18,110.3,,,
253, Ontario,Newbury,Village,447,439,1.8,1.85,241,,,
254, Ontario,Newmarket,Town,"79,978","74,295",7.6,38.33,"2,086.30",,,
255, Ontario,Niagara Falls,City,"82,997","82,184",1,209.71,395.8,,,
256, Ontario,Niagara-on-the-Lake,Town,"15,400","14,587",5.6,132.83,115.9,,,
257, Ontario,Nipigon,Township,"1,631","1,752",?6.9,109.14,14.9,,,
258, Ontario,Nipissing,Township,"1,704","1,642",3.8,393.6,4.3,,,
259, Ontario,Norfolk,City,"63,175","62,563",1.0.,"1,607.60",39.3,,,
260, Ontario,North Algona Wilberforce,Township,"2,873","2,840",1.2,378.53,7.6,,,
261, Ontario,North Bay,City,"53,651","53,966",?0.6,319.05,168.2,,,
262, Ontario,North Dumfries,Township,"9,334","9,063",3,187.44,49.8,,,
263, Ontario,North Dundas,Township,"11,225","11,095",1.2,503.21,22.3,,,
264, Ontario,North Frontenac,Township,"1,842","1,904",?3.3,"1,164.73",1.6,,,
265, Ontario,North Glengarry,Township,"10,251","10,635",?3.6,643.69,15.9,,,
266, Ontario,North Grenville,Municipality,"15,085","14,198",6.2,352.14,42.8,,,
267, Ontario,North Huron,Township,"4,884","5,015",?2.6,178.98,27.3,,,
268, Ontario,North Kawartha,Township,"2,289","2,342",?2.3,776.04,2.9,,,
269, Ontario,North Middlesex,Municipality,"6,658","6,740",?1.2,597.9,11.1,,,
270, Ontario,North Perth,Municipality,"12,631","12,254",3.1,493.19,25.6,,,
271, Ontario,The North Shore,Township,509,549,?7.3,238.94,2.1,,,
